date,regime,prob_0,prob_1,prob_2,prob_3,prob_4,confidence
2004-02-03,1,9.701728255783406e-05,0.987253827096625,8.960751899763682e-06,0.012636361559415867,3.833309502064741e-06,0.987253827096625
2004-02-04,1,5.953982818965013e-05,0.9926758638792554,6.503720847004802e-07,0.0072608174260991275,3.1284943710006863e-06,0.9926758638792554
2004-02-05,1,3.0036474477778212e-05,0.9949869452590576,7.698220492042505e-07,0.004980141469352504,2.1069750626034016e-06,0.9949869452590576
2004-02-06,1,6.676643753901205e-05,0.9925903451022712,1.0038423938163261e-08,0.007316742605708027,2.6135816057475683e-05,0.9925903451022712
2004-02-09,1,7.377076808246862e-05,0.9900833738181574,6.549846499433378e-09,0.009801748265924193,4.1100597989775e-05,0.9900833738181574
2004-02-10,1,6.077989705476101e-05,0.989508524870947,1.3219810287365644e-08,0.010375406943375631,5.527506881236788e-05,0.989508524870947
2004-02-11,1,9.987907632148708e-05,0.9828500799675662,4.9349865698559065e-08,0.01698973025586944,6.026135037690165e-05,0.9828500799675662
2004-02-12,1,6.0125322019014045e-05,0.9871905333688079,2.5433677894214126e-08,0.012689256045349477,6.005983014656086e-05,0.9871905333688079
2004-02-13,1,0.0005230087568425994,0.9961074412627312,1.1217383658565843e-11,0.0030975108892889076,0.0002720390799196166,0.9961074412627312
2004-02-17,1,0.0008604829351401421,0.9984694744420985,5.771052920543271e-08,0.0006271017159785525,4.288319625320128e-05,0.9984694744420985
2004-02-18,1,0.0006912685890218083,0.9985024336762856,9.663684001699559e-11,0.000686452362266079,0.00011984527578985459,0.9985024336762856
2004-02-19,1,0.000563098093681356,0.9986731699874175,3.10998107225238e-09,0.0004965343286675756,0.0002671944802525309,0.9986731699874175
2004-02-20,1,8.917097707075654e-05,0.9984522332464567,1.398296099027791e-07,0.000945044429543052,0.0005134115173193247,0.9984522332464567
2004-02-23,1,0.00011021065156587336,0.9982307888626247,1.0594405575887088e-09,0.001005201242404353,0.0006537981839649283,0.9982307888626247
2004-02-24,1,7.717975657342579e-05,0.9981186877302332,1.2936764450377713e-09,0.0008413221681920108,0.0009628090513241914,0.9981186877302332
2004-02-25,1,1.5736115022782033e-05,0.9903612984250352,6.358384573813404e-11,0.005592952832462852,0.004030012563894684,0.9903612984250352
2004-02-26,1,3.131603186964683e-05,0.9934124879925198,6.076041904470719e-12,0.002687723097584185,0.003868472871950833,0.9934124879925198
2004-02-27,1,0.000715230747683609,0.9974596200734573,2.367169181845603e-17,0.0010238832904030384,0.0008012658884567576,0.9974596200734573
2004-03-01,1,0.0007184109799085926,0.9969829636513697,1.922686062532715e-16,0.0014328599388983541,0.0008657654298238336,0.9969829636513697
2004-03-02,1,0.0008826111156739616,0.9982084626556036,1.1116579768507209e-12,0.0007411327171443894,0.00016779351046550852,0.9982084626556036
2004-03-03,1,0.0009761732820006153,0.9983057264690897,1.4733312100489703e-11,0.0006252601993295819,9.284003484641172e-05,0.9983057264690897
2004-03-04,1,0.001496128927105962,0.9973516266310842,1.4433416255711684e-09,0.0010225658766351378,0.00012967712183290593,0.9973516266310842
2004-03-05,1,0.004414165341470572,0.9875666390343383,1.073153484913542e-07,0.007736713528575761,0.0002823747802661904,0.9875666390343383
2004-03-08,1,0.014909328072444283,0.9504078503548283,0.00010316707517120566,0.03453478944972388,4.486504783275395e-05,0.9504078503548283
2004-03-09,1,0.018322571964270687,0.9350619157969476,5.2466834820741536e-05,0.04650664715322833,5.6398250732152106e-05,0.9350619157969476
2004-03-10,1,0.026210005793858106,0.9396993199394094,4.0910102125510895e-05,0.033945893287099994,0.00010387087750646523,0.9396993199394094
2004-03-11,1,0.02003034444981895,0.941626828039734,0.0002365232221424959,0.03805956059469145,4.674369361345598e-05,0.941626828039734
2004-03-12,1,0.009376988051365847,0.9427082897416245,0.003859149508899138,0.04404810478570316,7.467912406663813e-06,0.9427082897416245
2004-03-15,1,0.005809209226801582,0.907259015236657,0.05667460285381647,0.030255499990342244,1.672692382679418e-06,0.907259015236657
2004-03-16,1,0.018553557604863494,0.8980120399542079,0.022780558982215135,0.06065144101617483,2.4024425385983284e-06,0.8980120399542079
2004-03-17,1,0.03623380342411933,0.8611560862451622,0.0522777342026588,0.05032490444849552,7.471679563500177e-06,0.8611560862451622
2004-03-18,1,0.01853395184964502,0.944382184521247,0.008080355081955136,0.028998516628225914,4.9919189276118e-06,0.944382184521247
2004-03-19,1,0.05914073220476726,0.9246191530675444,0.0012689533955510686,0.014970432086609076,7.292455283684471e-07,0.9246191530675444
2004-03-22,1,0.06407269005565583,0.8969619898782429,0.0011695536599084016,0.037794419685790934,1.3467204027368884e-06,0.8969619898782429
2004-03-23,1,0.09271057567401658,0.8619067454468081,0.0016745352102100703,0.04370730890136185,8.347676031486869e-07,0.8619067454468081
2004-03-24,2,0.08418303423352169,0.06488339272669812,0.8496006839484127,0.0013328740385775324,1.5052789927568527e-08,0.8496006839484127
2004-03-25,1,0.27701542889598363,0.385823438365918,0.33186321345371245,0.00529788714403454,3.2140351851401266e-08,0.385823438365918
2004-03-26,1,0.1852703623945494,0.549885371682969,0.26068018098604356,0.004164027179387616,5.77570505357767e-08,0.549885371682969
2004-03-29,1,0.14095328399196835,0.7095744879002973,0.143098788985581,0.006373377012672453,6.210948116881695e-08,0.7095744879002973
2004-03-30,1,0.08490461206378584,0.7511230494888048,0.15976576734181996,0.004206549606027922,2.1499561057091503e-08,0.7511230494888048
2004-03-31,1,0.08522127180739116,0.819177123883831,0.08585908478702728,0.009742427482790176,9.203896005224197e-08,0.819177123883831
