date,gold_log_return,oil_log_return,dollar_index_log_return,vix_log_return,yield_10y,gold_vol_20d,oil_vol_20d,gold_oil_corr_20d,gold_dollar_index_corr_20d,gold_vix_corr_20d,oil_dollar_index_corr_20d,gold_momentum_20d,oil_momentum_20d
2013-06-26,-0.036100448476660496,0.0018865984577356443,0.004470437215078782,-0.07065720000884701,2.5390000343322754,0.019088300133586103,0.011783101725954183,0.49515378669560234,-0.45489511684557293,-0.30994054935027554,-0.4894933950780037,-0.12354970357405737,0.025129910445033765
2013-06-27,-0.0149121576686575,0.016100093573546026,-0.0004822535483031132,-0.020546568251172737,2.4830000400543213,0.01854179986598938,0.012219972756419242,0.4465601923924612,-0.4062238713426843,-0.29108877805426014,-0.47675186803195974,-0.15287623299310393,0.03608911915642388
2013-06-28,0.010184076226777528,-0.005061789554781093,0.0031309575669675738,0.0,2.4779999256134033,0.018901315454963066,0.011463850735179987,0.40598557666437074,-0.3570907265402182,-0.27759632969547643,-0.4543656849876001,-0.12921167404994716,0.048702101318003344
2013-07-01,0.025891654536359,0.014700859341783001,-0.0022870285053357975,-0.029493546125278325,2.490000009536743,0.019766744545795578,0.011388623514481274,0.4202104838798263,-0.314763048203614,-0.29570788489954997,-0.4079277730987363,-0.11694215083840298,0.047438909602245616
2013-07-02,-0.009842086910742509,0.016296738423251078,0.006725914668725963,0.004266979463699361,2.4690001010894775,0.01976042287681406,0.011759415186358898,0.3903907504268862,-0.3132128365706449,-0.2964606124049795,-0.2993119740267191,-0.1163882626287931,0.06523489218901801
2013-07-03,0.006811742623574979,0.016331765305783286,-0.0037176699369592114,-0.014706132779924719,2.500999927520752,0.01990936357348955,0.012116863620216517,0.40933759268055525,-0.3250444373080315,-0.32341124181865505,-0.33026265726888915,-0.11050662118343091,0.07696894487059591
2013-07-05,-0.0318079157329052,0.019368729970540954,0.014196418573312108,-0.08432141958017736,2.7149999141693115,0.020270818876337977,0.012519752911295373,0.2826396405991757,-0.36110365489745094,-0.21726749386081703,-0.07933704516991355,-0.15460986746650107,0.085515242712634
2013-07-08,0.01797580845034563,-0.0007753618416943553,-0.002609433660405003,-0.007414972300034073,2.6449999809265137,0.020695787154254144,0.012380063961677873,0.2883019336035564,-0.39561642460993746,-0.274224313879955,-0.065737136175787,-0.11326503777090924,0.07142665276691762
2013-07-09,0.00886816500649168,0.0037741312820926964,0.004502968689006792,-0.02952492866426759,2.630000114440918,0.02087988015055494,0.012291464454051151,0.2982622727953981,-0.36227055454355744,-0.29005091177395886,-0.07732251275125528,-0.10670797535909848,0.07791196550571566
2013-07-10,0.0012032247636408755,0.028471315443939993,-0.006404966822386449,-0.009804023995360733,2.680000066757202,0.020927606643693142,0.013294017905166551,0.30112161739033294,-0.39954151295485185,-0.3006450084181325,-0.2873262035729789,-0.0988458150646725,0.11046384535727327
2013-07-11,0.02587677612608541,-0.015229854780599794,-0.015468872613574547,-0.014174568107576668,2.5739998817443848,0.02178268705219443,0.014081645833149133,0.1668310075515139,-0.4864609287846395,-0.35822822431520107,-0.01388665081758788,-0.0836597277033988,0.09000549373040023
2013-07-12,-0.0017982934091742564,0.009864381260006994,0.002896078612366182,-0.012208415471288703,2.6010000705718994,0.02174065357159171,0.014106594171379222,0.17302470703898606,-0.5083958621251641,-0.41491444610346717,0.003799309626596957,-0.07520294957040274,0.09145724616526607
2013-07-15,0.0046845805308430855,0.00348615562408483,0.0006023375731771807,-0.0036192721757273283,2.555999994277954,0.02168599759337489,0.014000902013810854,0.15927313214102579,-0.5089723695785922,-0.44455179988624877,0.008057990684191411,-0.0775349793714577,0.08301773328661444
2013-07-16,0.005437751093870347,-0.003014317422571189,-0.00737297841533735,0.044672448108712626,2.5320000648498535,0.02178599283773298,0.014050453600338427,0.14720793811211597,-0.5134163722142318,-0.4156254093179455,0.03597470581042963,-0.06884824535291578,0.08082134692949428
2013-07-17,-0.010044094286119076,0.004518111501212729,0.0033910506073118185,-0.045397890940130914,2.490999937057495,0.021754369424384384,0.014035809000193536,0.15107717977827456,-0.5199659080910385,-0.4042794419056014,0.037548737360464046,-0.06710776076237046,0.07850995528946747
2013-07-18,0.005229242099018094,0.014544331785101505,0.001329071797923298,-0.0007259002234021317,2.5339999198913574,0.02175684565570322,0.01415437319591418,0.17397828223676337,-0.5761903971722834,-0.4051314158053315,0.07500881733674844,-0.06698764599098173,0.09508809474456648
2013-07-19,0.006749762357370237,9.257379845450942e-05,-0.002902031801568228,-0.09356881382136084,2.490999937057495,0.016074295505735442,0.0117494371064868,-0.35419983196742194,-0.6494021634057701,0.2444951345061326,0.21527646375279855,0.005738247913510186,0.12451551674805739
2013-07-22,0.03278232057525443,-0.010606717917294617,-0.004368946314522226,-0.02013761168871131,2.48799991607666,0.0176335641165522,0.011031903177623216,-0.4675314674925024,-0.6767539347838225,0.25663964330803324,0.3995242695722461,0.03409770876919538,0.1319959072581005
2013-07-23,-0.0009732726413984594,0.002988698258430844,-0.0025573792197883805,0.029661484189233978,2.5160000324249268,0.017372833511222895,0.010840883163837849,-0.4443877261765645,-0.6717845949930772,0.3633254499820489,0.40058678366064665,0.044649191171608926,0.11920625263870566
2013-07-24,-0.011601776086361149,-0.017308342383487663,0.0035299276671860724,0.04025314756554632,2.5880000591278076,0.017631315796859132,0.012001326572686852,-0.32205343813146875,-0.6784878554989414,0.2759833923082268,0.30462049253102547,0.03461505917761265,0.10042810012553538
2013-07-25,0.007022378689875097,0.0009483922886834861,-0.004017803206909143,-0.01606153331227933,2.6070001125335693,0.015235390288337841,0.012016049266537846,-0.41195295694968237,-0.6931540871557892,0.12265233362514517,0.3277253159141413,0.07773788634414824,0.09948989395648322
2013-07-26,-0.005508029892910216,-0.007517052714315575,-0.0042789779285064,-0.019463440011734168,2.561000108718872,0.014762440947619445,0.012025618894257612,-0.3247204406989168,-0.6868443964804481,0.11918659717932462,0.3530552390384737,0.08714201411989553,0.07587274766862162
2013-07-29,0.005056479060803198,-0.001433633664752243,0.0004899671087406077,0.051332606438509565,2.5850000381469727,0.0147003123232765,0.011911830224399943,-0.314517724616088,-0.7097004440075919,0.10795408153515546,0.3804516995218468,0.0820144169539212,0.07950090355865047
2013-07-30,-0.0033177713841849865,-0.01416005151650257,0.0020796161783698253,0.0,2.6029999256134033,0.013847694418539993,0.012286349550928017,-0.36742874322684826,-0.7415185053999553,0.15120937020636005,0.3440924538859226,0.05280499103337721,0.0506399927003649
2013-07-31,-0.008799916807399555,0.018740608464662856,-0.004654649335429362,0.004470906523500684,2.5929999351501465,0.01380013072079985,0.012441622972716641,-0.3683057349847644,-0.6803127917075287,0.15301692342748838,0.2340584830555575,0.05384716113672017,0.05308386274177668
2013-08-01,-0.0010673359258541737,0.026866171893823676,0.010867674286111573,-0.03865583522193816,2.7230000495910645,0.01378880271510852,0.013248000664426005,-0.3874368703826964,-0.6406492649353349,0.16290764256896584,0.3962986712106074,0.045968082587291015,0.06361826932981707
2013-08-02,-0.0003051757864609428,-0.008844231555816151,-0.005235843629846748,-0.07708470216823349,2.6019999980926514,0.011254021430094423,0.012931888493630852,-0.2592469031291759,-0.4587242887328829,-0.0944607307805699,0.320964341161397,0.07747082253373527,0.03540530780345996
2013-08-05,-0.006122780607500822,-0.0035597684692838527,-0.00036640098735407634,-0.011754912133295381,2.640000104904175,0.010950660574758837,0.012975650185815216,-0.23374018064573931,-0.4656370724832198,-0.1030316934879116,0.3136832682791869,0.05337223347588882,0.032620901175870465
2013-08-06,-0.0150053283093321,-0.01189473575949851,-0.003425483978531929,0.07169193656145678,2.6419999599456787,0.011525392748862561,0.01330821019959189,-0.14548273549761903,-0.46425402402212473,-0.22587906300962254,0.32126689402354575,0.02949874016006504,0.01695203413427926
2013-08-07,0.0022574442286140695,-0.00887114397370592,-0.0038062242495993104,0.02023409710428936,2.5999999046325684,0.011526495343949488,0.011757913816056547,-0.16392322802000478,-0.474243230263399,-0.22163431719574558,0.49702755767674967,0.030552959625038234,-0.020390425283366653
